"dep_com","idp_refugie_last_month","idp_refugie_3_months","food_access_no","mean_existence_access_no","market_access","security_feeling_no","health_access_no","education_access_no","diff_info_access","diff_info_access_no","nutri_programme","enough_water_access_no","pdi_vivant_cond_adeq_no","abris_dommages","procuration_savon","tel_mobile","settlement_assessed_num","ki_num","localiteName_fr","localiteRefName","com_loc","admin3Name_fr","admin3Pcode","admin3RefName","admin2Name_fr","admin2Pcode","admin2RefName","admin1Name_fr","admin1Pcode","admin1RefName","admin0Name_fr","admin0Pcode","admin0RefName","POINT_X","POINT_Y","settlement_com_num","reg_dep","pay_reg","geometry","dep_percentage"
"Ouallam_Ouallam",0.0588235294117647,0.0588235294117647,0.647058823529412,0.294117647058824,1,0.235294117647059,0,0,0.176470588235294,0.823529411764706,0.882352941176471,0.705882352941177,0.5,0.0588235294117647,0.529411764705882,0.470588235294118,17,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,list(),NA
"Ouallam_Simiri",0,0.0357142857142857,0.642857142857143,0.607142857142857,1,0.214285714285714,0,0.0357142857142857,0.0357142857142857,0.964285714285714,0.857142857142857,0.535714285714286,0.5,0.0357142857142857,0.5,0.642857142857143,28,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,list(),NA
"Ouallam_Tondikiwindi",0.238095238095238,0.238095238095238,0.761904761904762,0.571428571428571,1,0.476190476190476,0,0.19047619047619,0.142857142857143,0.857142857142857,0.952380952380952,0.380952380952381,0.857142857142857,0.0476190476190476,0.380952380952381,0.428571428571429,21,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,list(),NA
"Oudalan_Deou",0,0.666666666666667,1,0.666666666666667,1,0.666666666666667,0,1,0.333333333333333,0.666666666666667,1,0.666666666666667,0.333333333333333,0,0.666666666666667,0.666666666666667,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,list(),NA
"Oudalan_Gorom-Gorom",0.25,0.375,0.5,0.75,1,0.25,0,0.625,0.5,0.5,1,0.75,0.5,0.125,0.75,0.625,8,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,list(),NA
"Oudalan_Markoye",1,1,0,1,1,0.666666666666667,0,0.666666666666667,0,1,1,0.333333333333333,1,0,0.666666666666667,0.666666666666667,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,list(),NA
"Oudalan_Oursi",0,0.5,1,1,0.5,1,0.5,1,1,0,0.5,1,1,0,0.5,0.5,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,list(),NA
"Oudalan_Tin-Akoff",0.166666666666667,0.166666666666667,1,1,1,0.166666666666667,1,1,1,0,0.166666666666667,0.833333333333333,0.333333333333333,0,0.5,0.166666666666667,6,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,list(),NA
"Passore_Arbole",0,0.111111111111111,0.222222222222222,0,1,0.111111111111111,0,0,0.333333333333333,0.666666666666667,1,0.111111111111111,0.625,0,0.444444444444444,1,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,list(),NA
"Passore_Bagare",0,0,0.5,0,1,0,0,0,0,1,1,0.25,1,0,0.75,1,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,list(),NA
